run_id,learning_rate,batch_size,window_size,corr_threshold,hidden_dim,out_dim,dropout,embed_l2_reg,best_loss,best_epoch,final_loss,total_epochs,loss_improvement,improvement_pct
1,0.001,64,29,0.8,64,32,0.3,0.0001,0.057457493740924286,27,0.05752129295075391,30,0.0032205995895797507,5.3076809319594975
2,0.001,64,29,0.8,64,32,0.4,0.0001,0.06100680527928007,29,0.061027648011420126,30,0.0014761499313576398,2.36248417889544
3,0.001,64,29,0.8,96,32,0.3,0.0001,0.055844778828981194,29,0.055913755761871735,30,0.001941551862349622,3.359880856115504
4,0.001,64,29,0.8,96,32,0.4,0.0001,0.05690611737073045,30,0.05690611737073045,30,0.003887685168650845,6.394870868839734
5,0.001,128,29,0.8,64,32,0.3,0.0001,0.05929126494748581,29,0.059457905542543356,30,0.00565615388806219,8.708820133997964
